"ชื่อที่เราใช้","ชื่อใน Freshket","ชื่อใน GO","ข้อควรรู้","ไม่ใช่ตัวนี้","ยืนยันโดย"
"กระชาย","— ยังไม่มีในข้อมูล","กระชายฝอย แพ็ค 200 ก.","🔴 เสี่ยงสั่งผิด (สำคัญตอนให้ AI สั่งเอง) — กระชายมีหลายรูปแบบ แบบที่เราใช้คือ **กระชายซอย/ฝอย** เท่านั้น","","นัท 16 ก.ย. 2026"
"โยเกิร์ต","โยเกิร์ตรสธรรมชาติ 0% ตราดัชชี่","ดัชชี่ โพรไบโอติก โยเกิร์ต รสออริจินัล 125 ก. x 4","นัท: GO ก็มี (เมจิ/ดัชชี่)","","นัท 16 ก.ย. 2026"
"ผักกาดแก้ว","ผักกาดแก้ว คัดสวย (นําเข้า)","สลัดแก้วนอก 1 กก.","นัท: GO มีสลัดแก้วตัวที่ไม่ใช่โครงการหลวงด้วย → ใช้ ""สลัดแก้วนอก 1 กก."" เป็นตัวหลัก","","นัท 16 ก.ย. 2026"
"เห็ดชิเมจิขาว","— ยังไม่มีในข้อมูล","เห็ดชิเมจิขาว แพ็ค 1 กก.","แยกขาว/ดำ คนละตัว ห้ามรวมกัน","","นัท 16 ก.ย. 2026"
"เห็ดชิเมจิดำ","— ยังไม่มีในข้อมูล","เห็ดชิเมจิดำ แพ็ค 1 กก.","แยกขาว/ดำ คนละตัว ห้ามรวมกัน","","นัท 16 ก.ย. 2026"
"ใบตองกล้วยน้ำว้า","— ยังไม่มีในข้อมูล","— ยังไม่มีในข้อมูล","ยังไม่เจอชื่อในบิลทั้ง 2 ร้าน","","นัท 16 ก.ย. 2026"
"วิปปิ้งครีม","วิปปิ้งครีม ตราแองเคอร์","แองเคอร์ แดรี่วิปปิ้งครีม 1 ล.","นัท: GO ก็มี (แองเคอร์/แมกโนเลีย)","","นัท 16 ก.ย. 2026"
"ข้าว กข43","ข้าว กข43 ตราฉัตรไลท์","— ยังไม่มีในข้อมูล","🚚 สั่งจากซัพนอก (ไม่ใช่ GO/Freshket) — แยกสายสั่งไว้ต่างหาก · ของ GO ตัดทิ้งตามที่นัทสั่ง","","นัท 16 ก.ย. 2026"
"เห็ดออรินจิ","เห็ดออรินจิ","เห็ดออรินจินอก ใหญ่ แพ็ค 1 กก.","นัท: Freshket ก็มี (ใหญ่/เล็ก)","","นัท 16 ก.ย. 2026"
"เห็ดฟาง","เห็ดฟาง ขนาดใหญ่","เห็ดฟาง ดอกใหญ่ 1 กก.","นัท: Freshket ก็มี","","นัท 16 ก.ย. 2026"
